# rho at max Q =   32.680
# max Q        = 1976.568
# simulation timestep (model parameter for iterated map models) = 0.200
# rho[1/km],     s[m], vEq[km/h], Q[veh/h]
    0.00,     0.00,    72.00,     0.00
    3.33,   294.00,    72.00,   240.00
    6.67,   144.00,    72.00,   480.00
   10.00,    94.00,    72.00,   720.00
   13.33,    69.00,    72.00,   960.00
   16.67,    54.00,    72.00,  1200.00
   20.00,    44.00,    72.00,  1440.00
   23.33,    36.86,    72.00,  1680.00
   26.67,    31.50,    72.00,  1920.00
   30.00,    27.33,    67.20,  2016.10
   33.33,    24.00,    57.63,  1921.06
   36.67,    21.27,    49.83,  1826.98
   40.00,    19.00,    43.34,  1733.79
   43.33,    17.08,    37.88,  1641.42
   46.67,    15.43,    33.21,  1549.83
   50.00,    14.00,    29.18,  1459.01
   53.33,    12.75,    25.67,  1368.94
   56.67,    11.65,    22.58,  1279.59
   60.00,    10.67,    19.85,  1190.98
   63.33,     9.79,    17.42,  1103.10
   66.67,     9.00,    15.24,  1015.97
   70.00,     8.29,    13.28,   929.62
   73.33,     7.64,    11.51,   844.08
   76.67,     7.04,     9.91,   759.38
   80.00,     6.50,     8.45,   675.61
   83.33,     6.00,     7.11,   592.83
   86.67,     5.54,     5.90,   511.17
   90.00,     5.11,     4.79,   430.77
   93.33,     4.71,     3.77,   351.87
   96.67,     4.34,     2.84,   274.80
  100.00,     4.00,     2.00,   200.14
  103.33,     3.68,     1.25,   128.98
  106.67,     3.38,     0.60,    63.86
  110.00,     3.09,     0.10,    11.16
  113.33,     2.82,     0.00,     0.00
  116.67,     2.57,     0.00,     0.00
  120.00,     2.33,     0.00,     0.00
  123.33,     2.11,     0.00,     0.00
  126.67,     1.89,     0.00,     0.00
  130.00,     1.69,     0.00,     0.00
  133.33,     1.50,     0.00,     0.00
  136.67,     1.32,     0.00,     0.00
  140.00,     1.14,     0.00,     0.00
  143.33,     0.98,     0.00,     0.00
  146.67,     0.82,     0.00,     0.00
  150.00,     0.67,     0.00,     0.00
  153.33,     0.52,     0.00,     0.00
  156.67,     0.38,     0.00,     0.00
  160.00,     0.25,     0.00,     0.00
  163.33,     0.12,     0.00,     0.00
  166.67,     0.00,     0.00,     0.00
